H_Stride Length,H_Toe Height,H_Stride Duration,H_Swingphase Duration,H_Stancephase Duration,F_Stride Length,F_Toe Height,F_Stride Duration,F_Swingphase Duration,F_Stancephase Duration
6.944,1.41705,1.025,0.1875,0.8375,5.146,1.0434,0.65,0.1,0.55
7.099,0.7896,1.2375,0.1875,1.05,4.433,1.44525,0.8625,0.05,0.8125
4.805,0.7473,0.5125,0.1,0.4125,6.944,1.1985,0.5125,0.1125,0.4
3.906,1.0716,0.975,0.1,0.875,3.503,1.54395,0.9375,0.1,0.8375
6.169,2.2701,1.225,0.2,1.025,6.138,0.75435,0.6375,0.1375,0.5
4.805,1.7625,1.2125,0.25,0.9625,4.557,1.128,0.85,0.0875,0.7625
5.58,0.846,0.7375,0.1125,0.625,5.27,0.83895,0.5625,0.1375,0.425
5.456,1.9599,0.5375,0.15,0.3875,3.596,1.09275,0.7375,0.05,0.6875
3.968,1.8048,1.2,0.2125,0.9875,6.448,0.76845,0.775,0.15,0.625
5.921,1.3677,0.6375,0.0875,0.55,4.557,1.5792,0.9,0.1125,0.7875
5.611,1.1985,0.975,0.1625,0.8125,4.371,0.8178,0.6625,0.1625,0.5
5.27,1.5933,0.9625,0.125,0.8375,6.138,0.987,0.8125,0.325,0.4875
5.425,1.3959,0.8125,0.0875,0.725,3.255,1.2126,0.8125,0.1,0.7125
4.681,1.3113,1.2125,0.075,1.1375,5.177,1.128,0.65,0.0625,0.5875
5.766,1.4664,0.7,0.1,0.6,4.371,0.88125,0.6,0.1125,0.4875
2.325,0.5076,0.425,0.175,0.25,4.929,1.3818,0.825,0.075,0.75
5.239,1.4664,1.375,0.1,1.275,5.89,0.83895,0.5875,0.1875,0.4
6.51,1.23375,1.2125,0.1,1.1125,2.821,1.5792,0.8625,0.175,0.6875
4.557,1.29015,1.4,0.0875,1.3125,5.549,1.38885,0.55,0.05,0.5
5.301,1.13505,0.375,0.1375,0.2375,4.061,1.29015,0.5875,0.1125,0.475
4.154,0.58515,1.5375,0.3375,1.2,3.286,1.72725,0.55,0.075,0.475
